Student_ID,Age,Gender,State,Branch,College_Tier,CGPA,Attendance_Percentage,DSA_Problems_Solved,Aptitude_Score,Communication_Score,Projects_Count,Internships_Count,Certifications_Count,Open_Source_Contributions,GitHub_Contributions,LinkedIn_Activity_Score,Hackathons_Participated,Competitive_Programming_Rating,Study_Hours_Per_Week,Soft_Skills_Score,Leadership_Experience,Extracurricular_Activities,Placement_Status,Package_LPA
ST00001,22,Male,Tamil Nadu,Mechanical,Tier-3,6.25,67.07,54,25,76,4,1,3,28.0,129,56.0,2,632,11,62,No,2,Not Placed,0.0
ST00002,21,Male,Uttar Pradesh,Mechanical,Tier-3,7.53,87.69,115,49,23,2,0,1,39.0,221,0.0,1,697,9,39,No,4,Not Placed,0.0
ST00003,23,Male,Jharkhand,IT,Tier-3,7.9,82.78,268,47,57,3,3,4,220.0,796,36.0,5,1850,41,55,No,1,Placed,6.87
ST00004,22,Female,Maharashtra,CSE,Tier-3,7.0,67.11,163,27,56,5,2,4,131.0,1077,47.0,2,1236,34,60,Yes,2,Placed,10.47
ST00005,19,Male,Maharashtra,AIML,Tier-2,6.23,78.93,221,24,63,2,0,2,123.0,442,42.0,4,1314,14,61,No,2,Placed,9.17
ST00006,25,Male,Uttar Pradesh,IT,Tier-3,6.61,73.82,206,23,64,1,0,5,181.0,962,44.0,2,1252,10,66,No,1,Not Placed,0.0
ST00007,22,Male,Karnataka,EEE,Tier-2,7.84,82.78,182,38,60,3,1,1,63.0,352,35.0,4,727,12,65,No,0,Not Placed,0.0
ST00008,22,Female,Gujarat,CSE,Tier-3,7.32,79.99,212,44,56,3,0,4,45.0,505,30.0,1,1474,7,61,No,2,Not Placed,0.0
ST00009,19,Male,Uttar Pradesh,Mechanical,Tier-2,6.5,60.64,210,23,39,3,0,1,51.0,282,13.0,2,764,5,46,Yes,3,Not Placed,0.0
ST00010,21,Male,Haryana,AIML,Tier-3,6.94,76.1,159,28,37,7,2,7,98.0,1398,15.0,2,1616,15,49,No,2,Not Placed,0.0
ST00011,21,Male,Rajasthan,Mechanical,Tier-2,8.16,75.62,152,63,51,5,4,3,39.0,316,21.0,1,521,30,46,No,4,Placed,9.62
ST00012,24,Male,Telangana,Chemical,Tier-3,7.52,87.59,83,38,66,6,2,3,58.0,292,62.0,2,674,14,59,Yes,3,Not Placed,0.0
ST00013,22,Female,Haryana,CSE,Tier-2,6.61,64.57,262,44,63,2,0,5,79.0,376,44.0,5,1486,15,54,No,1,Placed,6.92
ST00014,23,Female,Maharashtra,Civil,Tier-2,7.72,79.65,141,44,59,2,1,0,32.0,459,17.0,0,705,16,50,No,0,Placed,2.23
ST00015,21,Male,Delhi,Mechanical,Tier-3,6.87,63.41,63,35,11,6,3,3,26.0,105,39.0,1,449,24,24,No,5,Not Placed,0.0
ST00016,20,Female,Delhi,Civil,Tier-2,6.95,87.38,118,49,34,2,1,2,45.0,217,18.0,1,798,22,39,No,2,Placed,2.27
ST00017,21,Male,Karnataka,IT,Tier-3,7.46,77.86,205,36,54,4,2,1,46.0,555,56.0,1,1595,20,54,No,1,Placed,10.07
ST00018,19,Female,Maharashtra,Civil,Tier-3,6.42,66.81,107,35,41,3,2,0,35.0,226,16.0,2,641,22,41,No,3,Not Placed,0.0
ST00019,23,Male,Andhra Pradesh,ECE,Tier-3,6.98,82.4,55,20,45,3,1,2,21.0,161,12.0,2,242,10,43,No,1,Not Placed,0.0
ST00020,22,Male,Telangana,CSE,Tier-3,8.24,88.71,215,29,62,5,1,1,102.0,1294,41.0,5,1799,16,60,No,4,Placed,9.45
ST00021,22,Female,West Bengal,Chemical,Tier-2,9.6,83.53,170,38,57,6,4,4,76.0,285,31.0,2,577,33,56,Yes,4,Placed,8.81
ST00022,21,Female,Karnataka,Chemical,Tier-3,5.89,67.43,136,13,27,3,0,2,44.0,389,3.0,1,646,13,33,No,1,Not Placed,0.0
ST00023,25,Female,Karnataka,CSE,Tier-3,6.6,62.93,139,52,41,3,1,4,105.0,470,8.0,2,1199,18,40,No,5,Placed,7.48
ST00024,23,Female,Chhattisgarh,ECE,Tier-1,8.71,70.75,217,37,68,2,1,3,67.0,378,67.0,2,589,30,59,No,2,Placed,11.01
ST00025,22,Female,Maharashtra,Chemical,Tier-3,6.28,61.02,51,29,61,2,2,2,14.0,117,36.0,3,389,14,51,No,1,Not Placed,0.0
ST00026,20,Female,Assam,ECE,Tier-1,7.64,82.35,170,51,53,5,1,5,56.0,328,0.0,3,922,23,52,Yes,4,Placed,6.15
ST00027,21,Male,Gujarat,ECE,Tier-2,9.03,87.13,140,68,69,6,1,5,36.0,265,37.0,3,645,31,57,No,3,Placed,9.29
ST00028,19,Male,Delhi,CSE,Tier-2,6.88,64.21,270,34,22,8,2,5,91.0,673,11.0,3,2315,24,38,Yes,1,Placed,6.48
ST00029,20,Female,Tamil Nadu,IT,Tier-3,7.14,81.36,180,35,47,2,1,6,95.0,436,44.0,7,1295,25,48,No,1,Not Placed,0.0
ST00030,22,Male,Kerala,ECE,Tier-1,6.66,69.01,166,18,39,1,1,3,67.0,678,52.0,3,656,26,45,Yes,4,Not Placed,0.0
ST00031,22,Female,Madhya Pradesh,Mechanical,Tier-3,7.93,71.13,163,19,36,6,0,5,72.0,391,73.0,2,561,10,44,No,4,Not Placed,0.0
ST00032,24,Male,Gujarat,ECE,Tier-2,5.98,72.26,92,44,66,2,0,3,24.0,299,24.0,1,704,19,60,Yes,4,Not Placed,0.0
ST00033,20,Male,Gujarat,EEE,Tier-2,6.91,71.41,131,35,48,2,0,1,28.0,747,7.0,1,901,14,53,No,2,Placed,5.27
ST00034,21,Male,Telangana,CSE,Tier-3,6.25,57.1,237,40,36,4,0,5,60.0,1036,41.0,1,1636,20,49,No,3,Placed,3.07
ST00035,21,Female,Maharashtra,Mechanical,Tier-2,7.23,70.41,95,43,43,4,1,5,52.0,189,48.0,2,742,18,33,Yes,2,Not Placed,0.0
ST00036,20,Male,Assam,CSE,Tier-2,9.08,69.14,283,37,75,2,0,2,117.0,615,0.0,3,2120,32,61,No,4,Placed,10.97
ST00037,19,Female,Maharashtra,EEE,Tier-2,7.83,62.59,111,30,68,3,1,5,44.0,320,1.0,1,469,19,68,Yes,6,Not Placed,0.0
ST00038,21,Male,Telangana,Civil,Tier-2,7.7,69.99,191,47,55,1,2,1,53.0,428,27.0,1,756,28,51,No,2,Not Placed,0.0
ST00039,20,Male,Uttar Pradesh,Mechanical,Tier-3,7.6,73.47,147,45,24,3,0,4,68.0,275,29.0,2,673,9,41,Yes,5,Not Placed,0.0
ST00040,22,Female,Punjab,CSE,Tier-1,7.73,65.0,276,55,35,5,4,3,60.0,346,0.0,5,1648,18,48,No,0,Placed,21.97
ST00041,21,Male,Rajasthan,Civil,Tier-3,8.44,77.28,153,35,39,5,0,3,42.0,274,23.0,4,964,34,52,Yes,1,Not Placed,0.0
ST00042,23,Female,Delhi,CSE,Tier-2,8.16,76.53,319,32,50,4,3,2,126.0,982,27.0,6,2286,22,52,Yes,1,Placed,11.09
ST00043,22,Male,Maharashtra,CSE,Tier-3,6.24,74.74,175,34,89,3,0,4,125.0,387,42.0,1,1083,0,72,No,4,Not Placed,0.0
ST00044,20,Male,Karnataka,Civil,Tier-2,8.33,75.1,244,62,43,1,3,8,79.0,356,37.0,2,948,27,52,Yes,3,Not Placed,0.0
ST00045,23,Male,Maharashtra,CSE,Tier-1,7.95,80.35,281,62,58,4,0,4,88.0,974,67.0,2,2063,16,54,No,0,Placed,22.88
ST00046,22,Female,Chhattisgarh,ECE,Tier-3,7.74,80.27,69,28,45,2,0,3,56.0,250,5.0,1,372,24,53,No,2,Placed,5.07
ST00047,21,Male,Maharashtra,Chemical,Tier-1,6.04,58.3,157,32,50,3,1,2,44.0,479,34.0,2,760,18,57,No,3,Not Placed,0.0
ST00048,20,Male,Odisha,AIML,Tier-2,7.5,86.18,262,57,82,5,2,2,151.0,1111,28.0,4,1734,37,67,Yes,1,Placed,12.24
ST00049,22,Male,Maharashtra,Mechanical,Tier-3,7.23,81.68,121,47,44,2,1,2,40.0,460,15.0,2,905,22,46,No,2,Not Placed,0.0
ST00050,20,Female,Kerala,EEE,Tier-3,6.76,69.45,71,15,20,1,1,6,24.0,152,0.0,0,454,20,28,No,4,Not Placed,0.0
ST00051,20,Female,Andhra Pradesh,IT,Tier-2,8.41,70.03,220,57,63,4,3,3,67.0,745,20.0,2,1948,27,52,Yes,6,Placed,12.31
ST00052,18,Female,Haryana,ECE,Tier-3,5.96,74.96,160,21,56,2,1,1,53.0,324,11.0,1,459,10,57,No,2,Placed,3.99
ST00053,22,Male,West Bengal,IT,Tier-3,9.92,76.8,297,59,63,6,1,6,63.0,536,46.0,5,2219,19,58,Yes,3,Placed,10.53
ST00054,22,Male,Rajasthan,Civil,Tier-3,6.4,62.9,147,39,44,1,0,3,61.0,236,4.0,3,814,6,52,No,2,Not Placed,0.0
ST00055,22,Female,Rajasthan,Mechanical,Tier-3,7.75,72.27,112,51,29,1,0,7,41.0,168,41.0,2,634,14,32,No,6,Not Placed,0.0
ST00056,22,Female,Tamil Nadu,IT,Tier-1,7.93,83.75,291,42,64,1,1,3,109.0,570,44.0,7,1834,16,62,Yes,4,Placed,10.19
ST00057,21,Female,Bihar,Mechanical,Tier-3,8.34,86.93,125,49,50,4,1,3,55.0,325,15.0,1,716,9,54,No,0,Not Placed,0.0
ST00058,21,Female,West Bengal,ECE,Tier-1,9.17,92.37,204,50,54,7,1,6,45.0,473,29.0,2,716,21,64,No,3,Placed,8.39
ST00059,20,Female,Karnataka,Mechanical,Tier-2,7.13,71.06,139,40,44,5,1,1,56.0,266,9.0,2,744,26,35,No,4,Not Placed,0.0
ST00060,19,Male,Tamil Nadu,CSE,Tier-2,7.65,73.31,200,59,62,4,3,3,129.0,655,12.0,4,1840,27,49,No,3,Placed,11.94
ST00061,22,Male,Andhra Pradesh,IT,Tier-2,7.14,71.71,242,42,44,3,0,3,121.0,421,53.0,4,1885,11,50,Yes,5,Placed,8.63
ST00062,21,Female,Kerala,IT,Tier-2,6.68,66.84,190,23,75,4,1,3,255.0,1274,29.0,1,1431,19,64,Yes,1,Placed,11.12
ST00063,21,Male,Punjab,EEE,Tier-1,7.78,70.14,192,45,75,3,5,4,42.0,329,60.0,1,810,11,67,No,1,Placed,6.74
ST00064,22,Male,Tamil Nadu,AIML,Tier-3,7.33,70.38,220,34,66,6,1,6,59.0,502,0.0,3,1336,17,63,No,0,Placed,12.77
ST00065,22,Male,Gujarat,ECE,Tier-3,7.36,86.68,179,50,34,5,0,4,63.0,286,0.0,1,1034,6,54,No,2,Placed,2.95
ST00066,21,Male,Maharashtra,Chemical,Tier-2,7.18,66.95,183,47,55,4,1,2,74.0,495,49.0,1,599,25,55,No,3,Placed,3.78
ST00067,21,Female,Tamil Nadu,CSE,Tier-3,7.64,75.97,255,47,40,1,1,5,58.0,1080,1.0,3,1821,0,34,Yes,1,Not Placed,0.0
ST00068,20,Female,Haryana,ECE,Tier-3,8.01,79.87,96,26,39,5,0,3,34.0,325,45.0,2,710,28,48,No,3,Not Placed,0.0
ST00069,19,Male,Karnataka,CSE,Tier-2,6.47,85.55,197,37,80,3,2,2,287.0,1030,91.0,1,1252,10,71,No,1,Placed,7.98
ST00070,21,Male,Tamil Nadu,EEE,Tier-2,8.02,77.77,215,28,71,1,0,4,48.0,545,49.0,2,1054,19,61,No,1,Not Placed,0.0
ST00071,20,Male,Maharashtra,AIML,Tier-3,8.68,75.82,247,33,52,5,2,4,176.0,653,25.0,4,1802,17,45,No,4,Placed,5.71
ST00072,21,Female,Maharashtra,Civil,Tier-2,6.42,63.65,62,31,78,4,0,0,26.0,369,8.0,2,321,2,69,No,3,Not Placed,0.0
ST00073,23,Male,Karnataka,IT,Tier-2,7.63,68.16,178,48,72,9,0,5,61.0,256,35.0,6,1432,27,66,Yes,5,Placed,5.25
